CustomerName,Segment,Country,City,Region,ProductCategory,SubCategory,ProductName,Sales,Quantity,Discount,Profit,ShippingCost,PaymentMethod,ShippingDuration,CustomerRating
13.029132362254591,12.473374714145704,13.104287369640788,13.779356768885565,14.055341055341055,12.746115427302996,13.739495798319327,13.739495798319327,2381.0,14.0,10.0,-100.00000000000003,0.0,1354.0,215.0,-1.0
13.986734049273531,14.088729016786571,13.104287369640788,13.779356768885565,13.625331564986737,12.746115427302996,13.739495798319327,13.739495798319327,3762.0,14.0,-10.000000000000004,400.0,5.0,2702.0,215.0,-1.0
13.395701643489254,12.473374714145704,14.212899543378995,13.562134502923977,12.75689223057644,12.746115427302996,13.739495798319327,13.739495798319327,5.0,-1.0000000000000009,110.0,-100.00000000000003,10.0,1354.0,215.0,-1.0
13.160611854684513,12.473374714145704,13.104287369640788,13.779356768885565,13.625331564986737,12.746115427302996,13.739495798319327,13.739495798319327,2908.0,20.0,25.0,-100.00000000000003,5.0,2702.0,5.0,-1.0
13.160611854684513,13.534493474207583,14.212899543378995,13.562134502923977,12.75689223057644,13.669324827219564,13.66125541125541,13.66125541125541,4712.0,20.0,-10.000000000000004,260.0,10.0,1380.0,324.0,-1.0
13.986734049273531,12.473374714145704,13.104287369640788,13.193986065273194,13.625331564986737,13.704569606801275,13.887749595250945,13.887749595250945,4532.0,10.0,110.0,500.0,100.0,2702.0,215.0,-1.0
14.14377406931964,12.473374714145704,13.387814879906268,13.193986065273194,13.625331564986737,12.746115427302996,13.739495798319327,13.739495798319327,840.0000000000002,11.6,10.0,-500.0,500.0,1422.0,215.0,-1.0
12.96132596685083,12.473374714145704,13.922901199314678,13.567790262172284,13.625331564986737,13.654843832715722,13.702789699570815,13.702789699570815,467.0000000000002,-2.000000000000001,110.0,0.0,5.0,1422.0,215.0,-1.0
14.14377406931964,13.534493474207583,13.104287369640788,13.193986065273194,13.911573068569655,13.669324827219564,13.66125541125541,13.66125541125541,786.0,4.0,50.0,1000.0,5.0,1380.0,96.0,-1.0
13.029132362254591,14.088729016786571,13.387814879906268,13.37683284457478,13.625331564986737,13.669324827219564,13.66125541125541,13.66125541125541,1744.0,5.0,10.0,500.0,100.0,1354.0,215.0,-1.0
